10200, 2900, 2500
7500, 3000, 2300
6000, 3000, 2300
7200, 3100, 2700
6900, 3400, 3000
8000, 3900, 3000
42500, 4200, 3100
9400, 4100, 3300
10600, 5100, 3600
9900, 6100, 3000
10500, 7300, 3000
11000, 5900, 4600
10500, 6400, 4700
12100, 6900, 4000
12100, 6900, 4200
13400, 8100, 4400
13500, 9600, 4400
15400, 8100, 6000
14200, 8600, 6000
15500, 9500, 6600
15800, 9100, 6700
16500, 12200, 6700
16500, 12100, 5400
18200, 13600, 5300
18000, 11200, 6900
19000, 12300, 7600
19400, 14300, 6400
21200, 11500, 8000
20800, 13800, 8700
21500, 12900, 9100
22100, 14800, 9400
23200, 14400, 8200
23000, 16200, 7400
23300, 15400, 9600
23700, 16500, 9900
25000, 18000, 8200
25100, 19000, 10300
25400, 17800, 9400
38400, 21100, 12800
28600, 20800, 12500
28300, 22400, 15900
